term,estimate_OLS,ci_lo_HC3,ci_hi_HC3,ci_lo_boot,ci_hi_boot
C(sex)[T.M],1.3430567332839023,0.39157570209817105,2.2945377644696334,0.4302837657986254,2.2811964924268
C(failures)[T.1],-2.6051708880292854,-4.074228890657313,-1.136112885401258,-4.0299446776124865,-1.1914707982610053
C(studytime)[T.3],1.3776843690548939,-0.08320959682558482,2.838578334935373,-0.03986986287911497,2.805986537867286
